race_id,year,round,track,driver,team,race_lap,stint,compound,tire_age,lap_time_sec,is_inlap,is_outlap,circuit_length(km)
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,STR,Aston Martin,28.0,2.0,HARD,3.0,82.602,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,SAI,Ferrari,29.0,1.0,MEDIUM,29.0,81.869,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,LEC,Ferrari,29.0,1.0,MEDIUM,29.0,82.33,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,NOR,McLaren,29.0,1.0,MEDIUM,29.0,82.735,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,RUS,Mercedes,29.0,1.0,MEDIUM,29.0,82.549,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,MAG,Haas F1 Team,29.0,1.0,MEDIUM,29.0,83.805,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,LAW,RB,29.0,1.0,HARD,29.0,82.879,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,PIA,McLaren,29.0,1.0,MEDIUM,29.0,82.782,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,COL,Williams,29.0,1.0,HARD,29.0,82.999,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,BOT,Kick Sauber,29.0,1.0,HARD,30.0,83.766,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,OCO,Alpine,29.0,1.0,HARD,29.0,83.568,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,ZHO,Kick Sauber,29.0,1.0,HARD,30.0,84.497,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,VER,Red Bull Racing,29.0,2.0,HARD,3.0,82.28,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,PER,Red Bull Racing,29.0,2.0,MEDIUM,9.0,82.965,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,STR,Aston Martin,29.0,2.0,HARD,4.0,82.867,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,SAI,Ferrari,30.0,1.0,MEDIUM,30.0,81.837,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,LEC,Ferrari,30.0,1.0,MEDIUM,30.0,82.322,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,RUS,Mercedes,30.0,1.0,MEDIUM,30.0,82.698,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,LAW,RB,30.0,1.0,HARD,30.0,83.015,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,PIA,McLaren,30.0,1.0,MEDIUM,30.0,82.677,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,COL,Williams,30.0,1.0,HARD,30.0,82.785,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,HAM,Mercedes,30.0,2.0,HARD,2.0,81.873,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,BOT,Kick Sauber,30.0,1.0,HARD,31.0,83.425,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,OCO,Alpine,30.0,1.0,HARD,30.0,83.975,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,VER,Red Bull Racing,30.0,2.0,HARD,4.0,81.252,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,ZHO,Kick Sauber,30.0,1.0,HARD,31.0,83.71,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,GAS,Alpine,30.0,2.0,HARD,2.0,82.583,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,PER,Red Bull Racing,30.0,2.0,MEDIUM,10.0,82.754,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,STR,Aston Martin,30.0,2.0,HARD,5.0,82.837,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,SAI,Ferrari,31.0,1.0,MEDIUM,31.0,82.057,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,LAW,RB,31.0,1.0,HARD,31.0,83.088,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,PIA,McLaren,31.0,1.0,MEDIUM,31.0,82.797,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,COL,Williams,31.0,1.0,HARD,31.0,83.09,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,HAM,Mercedes,31.0,2.0,HARD,3.0,80.371,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,BOT,Kick Sauber,31.0,1.0,HARD,32.0,82.994,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,VER,Red Bull Racing,31.0,2.0,HARD,5.0,82.267,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,OCO,Alpine,31.0,1.0,HARD,31.0,83.171,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,ZHO,Kick Sauber,31.0,1.0,HARD,32.0,86.422,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,HUL,Haas F1 Team,31.0,2.0,HARD,2.0,83.431,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,GAS,Alpine,31.0,2.0,HARD,3.0,82.391,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,PER,Red Bull Racing,31.0,2.0,MEDIUM,11.0,82.814,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,STR,Aston Martin,31.0,2.0,HARD,6.0,82.662,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,NOR,McLaren,32.0,2.0,HARD,2.0,81.052,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,LAW,RB,32.0,1.0,HARD,32.0,83.155,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,PIA,McLaren,32.0,1.0,MEDIUM,32.0,83.101,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,HAM,Mercedes,32.0,2.0,HARD,4.0,81.536,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,COL,Williams,32.0,1.0,HARD,32.0,82.653,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,BOT,Kick Sauber,32.0,1.0,HARD,33.0,83.774,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,VER,Red Bull Racing,32.0,2.0,HARD,6.0,81.156,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,OCO,Alpine,32.0,1.0,HARD,32.0,83.263,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,MAG,Haas F1 Team,32.0,2.0,HARD,2.0,81.832,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,HUL,Haas F1 Team,32.0,2.0,HARD,3.0,82.245,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,ZHO,Kick Sauber,32.0,1.0,HARD,33.0,83.854,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,GAS,Alpine,32.0,2.0,HARD,4.0,83.185,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,PER,Red Bull Racing,32.0,2.0,MEDIUM,12.0,83.202,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,STR,Aston Martin,32.0,2.0,HARD,7.0,82.85,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,LEC,Ferrari,33.0,2.0,HARD,2.0,80.975,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,NOR,McLaren,33.0,2.0,HARD,3.0,80.859,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,LAW,RB,33.0,1.0,HARD,33.0,84.101,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,PIA,McLaren,33.0,1.0,MEDIUM,33.0,83.935,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,RUS,Mercedes,33.0,2.0,HARD,2.0,81.708,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,HAM,Mercedes,33.0,2.0,HARD,5.0,82.347,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,COL,Williams,33.0,1.0,HARD,33.0,82.976,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,VER,Red Bull Racing,33.0,2.0,HARD,7.0,81.804,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,BOT,Kick Sauber,33.0,1.0,HARD,34.0,83.093,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,OCO,Alpine,33.0,1.0,HARD,33.0,84.33,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,MAG,Haas F1 Team,33.0,2.0,HARD,3.0,81.947,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,HUL,Haas F1 Team,33.0,2.0,HARD,4.0,81.912,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,ZHO,Kick Sauber,33.0,1.0,HARD,34.0,84.323,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,GAS,Alpine,33.0,2.0,HARD,5.0,82.029,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,PER,Red Bull Racing,33.0,2.0,MEDIUM,13.0,83.089,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,STR,Aston Martin,33.0,2.0,HARD,8.0,83.183,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,SAI,Ferrari,34.0,2.0,HARD,2.0,81.037,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,LEC,Ferrari,34.0,2.0,HARD,3.0,80.847,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,NOR,McLaren,34.0,2.0,HARD,4.0,80.881,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,RUS,Mercedes,34.0,2.0,HARD,3.0,81.794,False,False,4.304
